Nutrient or Food group,Variable,Value,Table
Fiber (g),"Recommended density*:Nutrient or food group amount per 1,000 calories",14,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"Recommended density*:Nutrient or food group amount per 1,000 calories",5.95,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"Recommended density*:Nutrient or food group amount per 1,000 calories",20-35,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"Recommended density*:Nutrient or food group amount per 1,000 calories",10,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",500,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",9,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"Recommended density*:Nutrient or food group amount per 1,000 calories",1150,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",1.25,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.11,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.39,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.11,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.36,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.29,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",1,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"Recommended density*:Nutrient or food group amount per 1,000 calories",3,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"Recommended density*:Nutrient or food group amount per 1,000 calories",1.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"Recommended density*:Nutrient or food group amount per 1,000 calories",1.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"Recommended density*:Nutrient or food group amount per 1,000 calories",1.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"Recommended density*:Nutrient or food group amount per 1,000 calories",2.75,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","Recommended density*:Nutrient or food group amount per 1,000 calories",1.86,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"Recommended density*:Nutrient or food group amount per 1,000 calories",0.57,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","Recommended density*:Nutrient or food group amount per 1,000 calories",0.36,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"Recommended density*:Nutrient or food group amount per 1,000 calories",13.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",8.05,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",7.9,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",35.89,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",11.81,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",488,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",6.88,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",1688,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.71,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.08,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.176766,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.05,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.2,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.25,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.49,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",3.2,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.43,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",2.77,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.75,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",2.83,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",1.724437,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.272022,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",0.381448,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-Total-Nutrient or food group amount per 1,000 calories ",13.61,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",8.4,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",9.27,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",33.13,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",10.94,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",573,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",7.39,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",1536,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.64,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.08,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.156852,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.04,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.18,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.22,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.69,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",2.9,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.52,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",2.45,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.77,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",2.58,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",1.408957,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.226869,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",0.491298,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-FAH-Nutrient or food group amount per 1,000 calories ",11.17,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",6.87,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",7.66,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",37.86,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",12.54,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",462,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",5.9,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",1993,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.72,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.07,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.176141,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.05,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.2,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.27,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.29,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",3.24,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.19,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",3.05,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.7,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",2.81,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",1.936636,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.292724,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",0.212618,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-FAFH-Nutrient or food group amount per 1,000 calories ",15.19,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",7.37,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",4.46,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",40.18,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",11.925,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",344.7,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",6.16,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",2324.64,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",1.11,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.13,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.262443,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.07,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.26,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.46,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.08,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
