Nutrient or Food group,Variable,Value,Table
Grains (oz),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",3.23,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.13,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",3.1,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",4.1,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",2.797834,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.790097,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",0.169222,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-Restaurant-Nutrient or food group amount per 1,000 calories ",19.56,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",5.95,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",7.85,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",38.39,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",13.068,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",459.51,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",5.86,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",1747.65,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.64,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.04,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.154714,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.03,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.2,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.25,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.16,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",3.47,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.12,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",3.35,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.74,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",2.48,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",1.849229,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.174057,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",0.083754,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-Fast food-Nutrient or food group amount per 1,000 calories ",15.14,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",10.17,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",6.86,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",28.04,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",10.377,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",805.32,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",7.23,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",1342.52,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.48,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.02,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.192653,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.03,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.15,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.12,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",1.36,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",3.59,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",1.04,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",2.55,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",1.99,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",1.36,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)","2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.895212,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.019035,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)","2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",0.168132,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),"2017-2018 Actual density-School-Nutrient or food group amount per 1,000 calories ",9.68,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.575,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.327731092,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.03,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.181,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.976,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.764444444,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.467826087,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.568,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.727272727,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.453246154,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.454545455,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.555555556,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.862068966,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.49,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.066666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.286666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.846666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.029090909,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)",2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.927116667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,0.477231579,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Nuts, seeds, and soy (oz)",2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.059577778,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Oils (g),2017-2018 density as a ratio of the recommended density-Total-Ratio of actual density to the recommended density,1.008148148,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fiber (g),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.6,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Added sugars (tsp),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,1.557983193,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.95,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Saturated fats (percent of calories)**,2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,1.094,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Calcium (mg),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,1.146,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Iron (mg),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.821111111,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Sodium (mg),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,1.335652174,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Total vegetables (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.512,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dark green (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.727272727,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Red & orange (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.402184615,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Legumes (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.363636364,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Starchy (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.5,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Other vegetables (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.75862069,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Fruits (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.69,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Grains (oz),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.966666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Whole grains (oz),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.346666667,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Refined grains (oz),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,1.633333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Dairy (cup),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.513333333,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Protein foods (oz),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.938181818,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
"Meats, poultry, and eggs (oz)",2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.757503763,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
Seafood (oz),2017-2018 density as a ratio of the recommended density-FAH-Ratio of actual density to the recommended density,0.398015789,"Table 8-The 2020-2025 recommended and 2017-2018 nutrient and food group density: amount per 1,000 calories and the ratio of actual density to the recommended density"
